English,Tulu
"After the Tulu Wikipedia goes live, we have a program for those who work, to notify those who have joined earlier.",ತುಳು ವಿಕಿಪೀಡಿಯೊ ಲೈವ್ ಆಯಿನೆಡ್ದ್ ಬುಕ್ಕೊ ಬೇಲೆ ಮಲ್ಪುನಕುಲೆಗಾತ್ರೊ ಇಂದೆಕ್ ದುಂಬು ಸಂಪೊಲಿಪುನಕ್ಲೆಗ್ ಪೆರ ಒರೊ ತೆರಿಪಾವುನ ಲೇಸ್‍ನ್ ದೀವೊಂದೊ.
"My mother still cherishes the day I spent with my grandmother of my life, the little girl who was lost in my life.",ಎನ್ನ ಜೀವನೊಡು ಕರಿದ್ ಪೊಯಿನ ಎಲ್ಯ ಪ್ರಾಯೊದ ಎನ್ನ ಜೀವನೊದ ಎನ್ನ ಅಜ್ಜಿ ನೊಟ್ಟಿಗೆ ಕರಿತಿ ದಿನೊನ್ ಎನ್ನ ಮೆಯಿ ಇತ್ತೆಲಾ ಇರ್ಮೆನ ಆಪುಂಡ್
"Whatever it is, I'll go.",ದಾಲಾ ಆವಡ್ ಯಾನ್ ಪೋಪೆ
"Solid metal instruments, bells, cymbals, etc.",ಘನ ಲೋಹದ ಸಾಧನೊಳು ಗಂಟೆ ಜಾಗಟೆ ತಾಳ ಇಂಚಿನಪೂರ
Ashwath is friendly,ಅಶ್ವಥೆ ಸ್ನೇಹಮಯಿಯಾದುಲ್ಲೆ
Breastfeeding during the last seven months of pregnancy,ಬಂಜಿನಲೆಗ್ ಏಳ್ ತಿಂಗೊಲ್ ಕರಿನೆ ಬಯಕೆ ಪಾಡುನ
Now the Agricultural Research Institute has a different kind of taste.,ಇತ್ತೆ ಕೃಷಿ ಸಂಶೋಧನಾಲಯದಕುಲು ಬೇತೆ ತರತರತ ರುಚಿ
We do not know for whose pleasure the present acts of worship we are doing are for.,ನಮ ಮಲ್ತೊಂದು ಉಪ್ಪುನ ಇತ್ತೆದ ಆರಾಧನಾ ಕ್ರಮೊಲು ಏರೆನಾ ಕುಸಿಕ್ ಪಂದ್ ಗೊತ್ತಿಜ್ಜಿ
Abhinav is healthy,ಅಭಿನವನು ಆರೋಗ್ಯವಂತೆಯಾತೆ
The ghosts remembered the five with the ajne of Maisandaya's footsteps,ಭೂತೊಲ್ ಐವೆರೆಗ್ ಮೈಸಂದಾಯನ ಅಜ್ಜೆದ ಅಜೆನೆದೊಟ್ಟುಗ್ ಸುಗಿತೆರ್
Kartik plays the lead role in the film.,ಕಾರ್ತಿಕೆ ಸಿನಿಮೊಡು ನಟನೆ ಮಲ್ಪುವೆ
"In Lobhana, Dever Lobhana is again called Ser Lobhana",ಗಣಕ್ ಅನುಸಾರವಾದ್ ಲೊಭಣದ ಪುಗೆ ಪತ್ತುವೆರ್
The Deity of the Gods,ಅಧೀಶೆ ದೇವತೆ
But there is no rain today.,ಆಂಡ ಇನಿ ಮರಿಯಲನೇ ಇಜ್ಜಿ ಬರ್ಸಲಾ ಕಮ್ಮಿ
The vaccination drive in Dakshina Kannada district has been stopped for two days due to the COVID vaccine dose shortage.,ಕೋವಿಡ್ ಲಸಿಕೆದ ಡೋಸ್ ಖಾಲಿಯಾಯೀನೇರ್ದಾವರ ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲೆಡ್ ರಡ್ಡ್ ದಿನ ಮುಟ ಲಸಿಕಾ ಅಭಿಯಾನನ್ ಉoತಾದೆರ್.
Believing in the light of the lamp believed by the gods is credited with illuminating the family family as the power of the believers.,ದೈವೊಲು ನಂಬಿ ಚಾವಡಿದ ಬೊಲ್ಪಾದ್ ನಂಬಿ ಭಕ್ತೆರೆ ಶಕ್ತಿ ಆದ್ ಕುಟುಮ ಸಂಸಾರೊನ್ ಬೆಳಗಾವುನ ಕೀರ್ತಿ ಉಂಡು
what does it mean to hit a straw,ನೆಲಕೈ ಹಾಕುನಿ ಪಂಡ ದಾದ
Rain-fed rice grown in Aynel crop,ಏಣೆಲ್ ಬುಲೆತ್ತ ಅರಿ ಬುಲೆತಿನ ಮರಿಯಲ
Only human beings have changed in worldly life by taking the opposite path.,ಪ್ರಾಪಂಜಿಕ ಜೀವನೊಡು ವಿರುದ್ದ ಸಾದಿನ್ ಪತೊಂದು ಬದಲಾತಿನಿ ಮಾನಿ ಮಾತ್ರ
He said it was a monster.,ಅವು ಒರಿ ರಕ್ಕಸೆ೦ದ್‌ ಪಂಡ್‌೦ಡ್‌
Dileep is watching the film.,ದಿಲೀಪೆ ಚಿತ್ರೊನು ಗಮನಿಸೊಂದುಲ್ಲೆ
"If not, did the mother make a mistake by killing a lower-class human?",ಅತ್ತ್ಂಡ ಅಪ್ಪೆ ತಿರ್ತ ವರ್ಗೊದ ಮಾನ್ಯನ್ ಸಾಂಕುದ್ ತಪ್ಪು ಮಲ್ತೆರಾ
Achintya takes,ಅಚಿಂತ್ಯೆ  ದೆತೊನುವೆ
The husband and wife,ಖಂಡಿತ ಕೊರೊಡು ಪಂಡಲ್ಗೆ
gaurish is very beautiful,ಗೌರೀಶೆ ಮಸ್ತ್ ಪೊರ್ಲು ಉಲ್ಲೆ
Achyuta borrows money,ಅಚ್ಯುತೆ ಕಾಸ್‍ನ್ ಕಡ ದೆತೊನುವೆ
Righteousness is to follow the path of truth while waiting for the truth.,ಸತ್ಯೊನ್ ಅಂಚೆನೆ ಕಾತೊಂದು ಸತ್ಯೊದ ಸಾದಿಡ್ ಪೊಪಿನವೇ ಧರ್ಮೊಂದ್ ನಡತೆರ್
what is the order of a house,ಒಂಜಿ ಇಲ್ಲದ ಕಟ್ಟ್ ಕ್ರಿಮೊ ದಾದ ಪೂರಾ ಉಂಡಾ
But such a tie has now been lost,ಆಂಡ ಅಂಚಿನ ಕಟ್ಟ್ ಇತ್ತೆ ತತ್ತುದ್ ಪೊಂಡು
Pregnant woman,ಅಂಚ ಬತ್ತಿನ ಬಂಜಿನಾಲ್
towards keeping such pigs.,ಇಂಚಿನ ಪಂಜಿಲೆಗ್ ಈಡ್ ದೀಯರ ಕಡೆಕ್
Take it to the temple,ಇತ್ತೆದ ದಿನೊಟು ದೆವಸ್ಥಾನಗ್ ಲೆತ್ತೊಂದು ಪೋದು ನುಪ್ಫು ಕೊರ್ಪೆರ್
The application is a good driver,ಅನ್ವಯೆ ಎಡ್ಡೆ ಸಾರಥಿಯಾತೆ
"It's not good to sow, it's too bad",ಬಿತ್ತರೆ ಎಡ್ಡೆ ಇಜ್ಜಿ ದಿಂಜ ಹಾಲಾತ್ತುಂಡು
Nidheesh speaks,ನಿಧೀಶೆ ಪಾತೆರುವೆ
Sumathi's mother's house,ಕಮ್ಮಿ ಆಪಿನ ತೋಜುಜಿ
Saketa sings,ಸಾಕೇತೆ  ಪನ್ಪೆ
Vimala wants to eat,ವಿಮಲೆ ವನಸ್ ಮಲ್ಪರೆ ಬಯಕೊಂದುಲ್ಲೆ
The leaf should be kept under the pot and kept sitting.,ಇರೆನ್ ಪಿಂಕಾನ್ದ ಅಡಿಟ್ಟು ದೀದ್ ಕುಲ್ಲೊಡು
Those born in the Bharani nakshatra rule the Dharani.,ಭರಣಿ ನಕ್ಷತ್ರೂಡು ಪುಟ್ಟಿನಕ್ಲು ಧರಣಿನ್ ಆಳ್ವೆರ್ ಗೆ
Pattadarasi's mother tied a diamond pillar in this palace and re-gratified it with a garland of life.,ಪಟ್ಟದಬ್ಬೆಡ ಅಪ್ಪೆ ಈ ಅರಮನೆಟ್ ವಜ್ರದ ಕಂಭಡ್ ಕಟ್ಟುದಿನ ಆಯುಷ್ಯದ ಪಟ್ಟ ಬೊಕ್ಕ ಜಪದ ಮಾಲೆ
Cradle on the 16th day of the baby's birth,ಬಾಲೆ ಪುಟ್ಟುದು ಪದಿನಾಜಿ ದಿನತಾನಿ ತೊಟ್ಟಿಲ್ಡ್ ಪಾಡುನ ಕ್ರಮ
"In front of us too, the roti of life that God has put in front of us is turning.",ಅಲೆ ತೂಲೆ ನಮ್ಮ ಎದುರುಲ ದೇವೆರ್ ಪಾಡಿ ಜೂವನ ಪನ್ಪಿ ಮಾಯೊದ ರೊಟ್ಟಿ ತಿರ್ಗೊಂದುಂಡು
The meaning of today's generational relationship is who doesn't know what should happen to whom.,ಇನಿತ ಪೀಳಿಗೆ ಸಂಬಂಧದ ಅರ್ಥ ಎರೆ ಎರೆಗ್ ದಾದ ಆವೊಡು ಪಂದ್ ಗೊತ್ತುಜಿ
Varuna is the owner of the land,ವರುಣೆ ಆ ಭೂಮಿದ ಧನಿಯಾತೆ
holding on to the principle of the essence of so many principles of conduct,ಅವೆತು ಆಚಾರ ವಿಚಾರಲೆದ ಸತ್ವದ ತತ್ವನೊ ಪತೊಂದ್
"But now in forty-five days, we eat the chicken grown in the pill.",ಆಂಡ ಇತ್ತೆ ನಲ್ಪತ್ತೈನ್ ದಿನೊಟು ಮಾತ್ರೆಡ್ ಬುಲೆಯಿನ ಕೋರಿನ್ ಕಜಿಪ್ಪು ಮಲ್ತ್ ತಿನ್ಪ
Manmatha has forgotten,ಮನ್ಮಥೆ  ಮದತ್‍ದೆ
"Once upon a time, from marriage to death",ಒಂಜಿ ಕಾಲೊಡು ಮದಿಮೆರ್ದ್ ಪತ್ತುದ್ ಸಾವುದಡೆ ಮುಟ್ಟದ
During the reign of Emperor Bali in Tulunad,ತುಳುನಾಡ್ನ್ ಕಾಲೊಡು ಬಲಿ ಚಕ್ರವರ್ತಿ ಆಳುನ ಪೊರ್ತು
Sumathikas brother had died.,ಒಂಜಿ ಸಂಗತಿ ಆಂಡ್
Prose Lesson-1 Karnad Sadashivaraya,ಗದ್ಯಪಾಟೊ - 1ಕಾರ್ನಾಡ್‌ ಸದಾಶಿವರಾಯೆರ್‌
"Babbu, who was inside the well, gives a word to Swami himself",ಉಗ್ಗೇಲ್ದ ಉಲಾಯಿ ಇತ್ತಿನ ಬಬ್ಬು ಸ್ವಾಮಿಗ್ ತನ್ನಿಮಾನಿಗ ಒಂಜಿ ವಾಕ್ಯ ಕೂರ್ಪೆರ್
Though found on the ghat side of Tulunad,ತಿಕುಂಡಲಾ ತುಳುನಾಡುದ ಘಟ್ಟದ ಬರಿಯೆ
Ashwath is protesting his words,ಅಶ್ವಥೆ ಅಕ್ಲೆನ ಪಾತೆರೊನು ಪ್ರತಿಭಟಿಸವೊಂದುಲ್ಲೆ
"Now some areas of Belagavi district, Gadag, Dharwad, Uttara Kannada, Dakshina Kannada, Haveri, Bidar districts have received heavy rainfall.","ಇತ್ತೆ ಬೆಳಗಾವಿ ಜಿಲ್ಲೆದ ಕೆಲವು ಪ್ರದೇಶ ಆಯಿನ ಪ್ರದೇಶ, ಗದಗ, ಧಾರವಾಡ, ಉತ್ತರ ಕನ್ನಡ, ದಕ್ಷಿಣ ಕನ್ನಡ, ಹಾವೇರಿ, ಬೀದರ್ ಜಿಲ್ಲೆದ ಕೆಲವು ಪ್ರದೇಶಡ್ ಬಾರಿ ಬರ್ಸ ಬೈದುಂಡು."
Ajit is Parvati's husband.,ಅಜಿತೆ ಪಾರ್ವತಿನ ಕಂಡನೆ
Why the history scholars of Udupi and Kukke do not agree with the story of Parashurama's creation,ದಾಯೆ ಉಡುಪಿ ಬೊಕ್ಕ ಕುಕ್ಕೆದ ಇತಿಹಾಸ ಪಂಡಿತೆರ್ ಪರಶುರಾಮ ಸೃಷ್ಟಿದ ಕಥೆನ್ ಒತೊನುಜೆರ್
Vimala is flaunting a cloth,ವಿಮಲೆ ಕುಂಟುನು ರಾಪಾವೊಂದುಲ್ಲೆ
He doesn't get called to work for no profit.,ತನಕು ಲಾಭದಾಂತಿ ಕೆಲಸೊಗು ಲೆತ್ತುಂಡಲ ಬರಯೆರು
Ajit is dressed-up,ಅಜಿತೆ  ಕುಂಟು-ಪಾಡ್ದೆ
"Knowing the secret game, he breaks his love for his father.",ಜೇರೊಡು ನಡಪಾವುನ ಗುಟ್ಟುದ ಗೊಬ್ಬು ತೆರಿದ್ ಅಮ್ಮೆ ಪನ್ಪಿ ಮೋಕೆನೆ ಕಡ್ತ್ ಬುಡ್ಯೆ
The clan did not call people from other towns except for them.,ಕುಲ ಕಸುಬುಗ್ ಅಕುಲೆನ್ ಬುರ್ದು ಪರವೂರುದ ಮಾನಿಲೆನ್ ಲೆತ್ತೊಂದ್ ಇತ್ತುಜೆರ್
They showed a life of self-esteem even though they once knew the porridge in the bowl.,ಬಟ್ಟಲ್ಡು ಒರಕ್ಕ್ ಗಂಜಿ ಕುಡೊರೊಗು ತೆಲಿಯಾಂಡಲಾ ಸ್ವಾಭಿಮಾನೊದ ಬದುಕು ತೊಜಾಯಿನಕುಲು
So now we have a bullock cart.,ಅಂಚದ್ ಇತ್ತೆ ನಮ ಬೋರಿದ ಗಾಡಿ
When the black stone is cut into pieces,ಕರ್ಗಲ್ಲ್ ಕಾಯಿಯಾನಗ
Trade should be done at the market price.,ಮಾರುಕಟ್ಟೆ ದ ದರಟೆ ಬೇರ ಮಲ್ಪೊಡು
Kartik achieves,ಕಾರ್ತಿಕೆ  ಸಾಧಿಸವೆ
Investing in a new business,ಪ್ರವೀಣೆ ಪೊಸ ಬೇರೊಗು ಬಂಡವಾಳ
The forest is hunting for meat with the sound of the dud bud and the force of the bandage,ದಡ್ ಬುಡ್ ಸಬುದೊದೊಟ್ಟುಗ್ ಮಟ್ಟ್ ಕಟ್ಟುದ ಪೆಟ್ಟುದ ಬಲತೊಟ್ಟುಗ್ ಕಾಡ್ ಮಾಸದ ಬೋಂಟೆ ದೇರೊಂದುಲ್ಲೆರ್
Praveen acts in the film,ಪ್ರವೀಣೆ ಸಿನಿಮೊಡು ನಟನೆ ಮಲ್ಪುವೆ
"Mari, who had come to the village, stood in peace, saying that she had gone into the water.",ಊರುಗ್ ಬತ್ತಿ ಮಾರಿ ನೀರುಡ್ ಪೊಂಡು ಪಂಡುದ್ ನೆಮ್ಮದಿಡು ಉಂತ್ಯೆರ್
Vishwas is the husband of Parvati.,ವಿಶ್ವಾಸೆ ಪಾರ್ವತಿನ ಕಂಡನೆ
"The Prime Minister, Shri Narendra Modi, yesterday spoke to the Chief Ministers of Karnataka, Punjab, Bihar and Uttarakhand, regarding the situation in those states.","ಕರ್ನಾಟಕ, ಪಂಜಾಬ್, ಬಿಹಾರ್ ಬೊಕ್ಕ ಉತ್ತರಾಖಂಡ ರಾಜ್ಯದ ಪರಿಸ್ಥಿತಿ ದ ಬಗ್ಗೆ ಆ ರಾಜ್ಯದ ಮುಖ್ಯಮಂತ್ರಿನಕ್ಲೆನೊಟ್ಟಿಗೆ ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ ಕೋಡೆ ಪಾತೆರ ಕತೆ ನಡಪಾದೆರ್."
"Hence, the Mulky Rickshaw Drivers and Owners Association has requested the government to provide a special relief package to the rickshaw pullers.",ಅಂಚಾದ್ ರಿಕ್ಷಾದಕಲೆಗ್ ಸರ್ಕಾರ ವಿಶೇಷ ಪರಿಹಾರ ಪ್ಯಾಕೇಜ್ ಕೊರೊಡು ಪಂಡ್ ದ್ ಮುಲ್ಕಿ ರಿಕ್ಷಾ ಚಾಲಕೆರ್ ಬೊಕ್ಕ ಮಾಲಕೆರ್ನ ಸಂಘದಕುಲು ಬಿನ್ನೈತ ಮಲ್ದೆರ್.
Mother Siri breaks up,ಅಪ್ಪೆ ಸಿರಿ ಸಮ್ಮಂದ ಕಡ್ತೊಂಡೆರ್ಗೆ
Brahma keeps saving energy from the source.,ಬೆರ್ಮ ಸಕ್ತಿನ್ ಮೂಲೊಡೇ ಒರಿತೊಂದು ಪೋಯಿ
This is the habit of some lazy people.,ಕೆಲವೆರು ಉದಾಸಿನದಕಲೆನ ಅಬ್ಬೆಸನೇ ಉಂದು
Blue colour applied to the bunny,ನೀಲಿದ ಬಣ್ಣೂನು ಬಾನೊಗು ಸಾರಣಮಲ್ತಿನ
The soil is rich in organic matter.,ಈ ಮಣ್ಣುಡು ಕುರಿದಿನ ಸಾವಯವ ವಸ್ತುಲು ಜಾಸ್ತಿ
Varuna is gone,ವರುಣೆ ಪೋಯೆ
"Further, Thimmanna Ajila is of the age of superannuation.",ಅಯಿಡ್ದ್ ಲಾ ತಿಮ್ಮಣ್ಣ ಅಜಿಲೆರೆಗ್ ಪ್ರಾಯದಂಗಿನ ಪೊರ್ತು
We can take this meaning when it comes to putting up a temple,ಗುಡಿ ಪಾಡುನು ಪನ್ನಗ ನಮ ಈ ಅರ್ಥೋನು ದೆತೊನೇಲಿ
the ray is tapped,ಕಿರಣೆ   ಪಾಡ್ದೆ
More information needs to be added to existing articles.,ಇತ್ತೆ ಉಪ್ಪುನ ಲೇಕನೊಲೆಗ್ ನಾನೊಂಜಾತ್ ಮಾಹಿತಿ ಸೇರಾವುನ ಬೇಲೆ ಆವೊಡು.
Dante means Arulumarulu which means the grandmother who carries the stick.,ದಂಟೆ ಪಂಡ ತಂದೆಲ್ಹಂದೆಲು ಪಂಡ ದೊಣ್ಣೆ ಪತೊಂದು ಪೊಪುನ ಅಜ್ಜಿ
It also works against cancer.,ಕ್ಯಾನ್ಸರುದ ವಿರುದ್ಧಲಾ ಉಂದು ಕೆಲಸ ಮಲ್ಪುನು
Chinmaya has to go out,ಚಿನ್ಮಯೆ ಪಿದಯಿ ಪೋಡಾಪುಂಡು
"Most often, it is kept outside near the basil plant.",ಹೆಚ್ಚಿಗೆ ಪಿದಾಯಿಡ್ ತುಲಸಿ ಕಟ್ಟೆದ ಬರಿಟ್ ದೀಂಡ
What Vikram Doesn't Care,ವಿಕ್ರಮನು ದಾದೆನ್‍ಲಾ ಚಿಂತೆ ಮಲ್ಪುಜೆ
Prahlad reads,ಪ್ರಹ್ಲಾದೆ  ಓದುವೆ
Another issue is how many years have passed since the end of the family and the appointment.,ಬೊಕ್ಕೊಂಜಿ ಇಚಾರ ಪಂಡ ಯೆತೊ ಒರ್ಸ ಕರಿದು ಕುಟುಂಬ ಅರಿದ್ ಮುರಿದ್ ನೇಮ ಆವೊಂದು ಇತ್ತಿ ಕಾಲ ಅವು
If you start with a third,ಮುಗುಲಿ ತಿಪ್ಪಿ ನೀರ್ ಮೈಪೊಡು
Aditeya wants to play,ಅದಿತೇಯೆ ಗೊಬ್ಬರೆ ಇಚ್ಚಿಸುವೆ
The overall turnout was 94.98.,ಒಟ್ಟಾರೆ ಶೇ.94.98 ಮತದಾನ ಆತ್ಂಡ್.
"That is, if we look at it intelligently, we can live without rain on Earth.",ಪಂಡ ಗೇನದ ಬುದ್ಧಿಡ್ ನಮ ತೂಯಂದಾಂಡ ಭೂಮಿದ ಮಿತ್ತ್ ಮರಿಯಲ ದಾಂತೆ ಬದ್ಕರೆ ಆವಾ
Vishwanath is dancing,ವಿಶ್ವನಾಥೆ ನಲಿತೊಂದುಲ್ಲೆ
We must treat them as best we can.,ನಮ ಅಕ್ಲೆಗ್ ತೀರಿನಾತ್ ಸಮಲ್ತ್ ಮಲ್ಪೋಡು
"MLA Vedavyas Kamath along with Bharatiya Janata Party State President, MP, Shri Nalin Kumar Kateel, District in-charge Minister, Shri Kota Srinivas Poojary received (welcomed) the IOS kitty which brought oxygen from Bahrain to New Mangalore Port.","ನವ ಮಂಗಳೂರು ಬಂದರ್ ಗ್ ಬಹರೈನ್ ರ್ದ್ ಆಕ್ಸಿಜನ್ ಕಂತಿನ INS Talwar ನ್ ಭಾರತೀಯ ಜನತಾ ಪಾರ್ಟಿದ ರಾಜ್ಯ ಗುರ್ಕಾರ್ಲಾಯಿನ , ಸಂಸದೆರಾಯಿನ ಶ್ರೀ ನಳೀನ್ ಕುಮಾರ್ ಕಟೀಲ್, ಜಿಲ್ಲಾ ಉಸ್ತುವಾರಿ ಸಚಿವರಾಯಿನ ಶ್ರೀ ಕೋಟ ಶ್ರೀನಿವಾಸ್ ಪೂಜಾರಿನೊಟ್ಟಿಗೆ ಶಾಸಕ ವೇದವ್ಯಾಸ್ ಕಾಮತ್ ಮೇರ್ ಎದುಕೊಂದೆರ್"
"INS Talwar departed from the port of Manama, Bahrain and has 60 metric tonnes in two cryogenic isotopes.",ಬೆಹರಿನ್‌ದ ಮನಾಮಾ ಬಂದರ್‌ಡ್್ರ ಐಎನ್‌ಎಸ್ ತಲ್ವಾರ್ ಪಿದಾಡ್ದ್ ಅಯಿಟ್ ರಡ್ಡ ಕ್ರಯೋಜನಿಕ್ ಐಸೋ ಕಂಟೈನರ್‌ಡ್ 60 ಮೆಟ್ರಿಕ್ ಟನ್ ಉಂಡು.
Dugga looks at Natti with a divine eye.,ದೂರೊಡಿಪ್ಪುನ ದೊಂಪ
Aaradhya sings well,ಆರಾಧ್ಯೆ ಎಡ್ಡೆ ಪದ ಪನ್ಪೆ
How many cultivators are there in Tulu?,ಅಂಚದ್ ಅಯಿತ ಉಪದ್ರ ಊರುಗ್ ಮಾಮೂಲಿ ಆದಿತ್ತುಂಡ್
Four things are needed for semantic teaching.,ವಾಕ್ಯಾರ್ಥ ಬೋಧೆಗು ನಾಲು ಇಸಯೊಳು ಅಗತ್ಯ
please don't you stop singing,ದಯದೀದ್ ಈರ್ ಪದ ಪನ್ಪುನೆನ್ ಉಂತವೊಚ್ಚಿ
"A case has been registered against the management of Valachil Expert College, Mangalore at Mangalore Rural Police Station for keeping the II PU students in the hostel in violation of government rules.",ಸರ್ಕಾರದ ನಿಯಮ‌ ಉಲ್ಲಂಘನೆ ಮಲ್ತ್ ದ್ ದ್ವಿತೀಯ ಪಿಯುಸಿದ ಜೋಕ್ಲೆನ್ ಹಾಸ್ಟೆಲ್ಡ್ ದೀತಿನೆಕ್ಕ್ ಕುಡ್ಲದ ವಲಚ್ಚಿಲ್ ಎಕ್ಸ್​ಪರ್ಟ್ ಕಾಲೇಜ್ ದ ಆಡಳಿತ ಮಂಡಳಿದ ವಿರುದ್ಧ ಮಂಗಳೂರು ಗ್ರಾಮಾಂತರ ಠಾಣೆಡ್ ಪ್ರಕರಣ ದಾಖಲಾತುಂಡು .
"They say it, but it doesn't help.",ಪಂದ್ ಪನ್ಪೆರ್ ಆಂಡಾ ಅವು ಪ್ರಯೋಜನಗ್ ಬರ್ಪುಜಿ
That's how some time went by.,ಇಂಚನೆ ಕೆಲವು ಕಾಲ ಕರಿದ್ ಪೊಂಡು
Advaita desires,ಅದ್ವೆತೆ  ಇಚ್ಚಿಸುವೆ
a week before chowti in yellow,ಚೌತಿದ ಒಂಜಿವಾರೊ ದುಂಬು ಮಂಜೊಲ್ಡ್
Ramanna was taken aback by the words.,ಮಾತೇರೆಗ್ಲ ಪಾಪ ಒಂಜತ್ತ್ಂಡ ಒಂಜಿ ಸಮಸ್ಯೆ
"At night, they used to burn the pundit in the field and make food there itself.",ರಾತ್ರೆ ಕಂಡೊಡು ಪುಂಡದನ್ ಕರಂಚಾದ್ ಅಲ್ಪನೆ ಕಜಿಪು ಮಲ್ಪೆದೆರ್
"The king died old, and the children did his works magnificently.","ಅರಸು ಪ್ರಾಯ ಸಂದ್‌ದ್‌ತೀರ್ದ್‌ ಪೋಯೆ, ಜೋಕುಲು, ಆಯೆನ ಸಾವುನು ಬಾರಿ ಗೌಜಿಡ್‌ ಕರಿತೆರ್‌"
"In this special puja, on the occasion of the 15th anniversary of the marriage of the joint treasurer of the temple Jayakar Shetty Mudradi and on the occasion of the birthday of Himansh Amin of the youth committee, a special puja was performed in the temple during which the honorary president Vinod Waghashiya honoured him with puja prasad with a shawl.",ಈ ವಿಶೇಷ ಪೂಜೆಡ್ ಮಂದಿರದ ಜತೆ ಕೋಶಾಧಿಕಾರಿ ಜಯಕರ್ ಶೆಟ್ಟಿ ಮುದ್ರಾಡಿ ಮೆರ್ನ 15ನೇ ಮದಿಮೆದ ವರ್ಷದ ಪರವಾದ್ ಬೊಕ್ಕ ಯವ ಸಮಿತಿದ ಹಿಮಾಂಶ್ ಅಮೀನ್ ಮೆರ್ನ ಪುಟ್ಟು ಪರ್ಬದ ಪರವಾದ್ ಮಂದಿರಡ್ ವಿಶೇಷ ಪೂಜೆ ಮಲ್ತಿನ ಪೊರ್ತುಡು ಗೌರವ ಗುರ್ಕಾರ್ಲಾಯಿನ ವಿನೋದ್ ವಾಘಷಿಯ ಮೇರ್ ಶಾಲ್ ಪಾರ್ದ್ ಪೂಜೆದ ಪ್ರಸಾದ ಕೊರ್ದು ಮಾನದಿಗೆ ಮಲ್ತೆರ್ .
where do you cook,ಅಟಿಲ್ ಒಲು ಮಲ್ಪುವೆರ್
How to wrap a blanket,ಕಂಬೊಳಿ ಎಂಚ ಪೊದೆಪೊಡು ಪಣ್ಪಿನ ಸಂಗತಿ
But the root cause of worship is unknown.,ಆಂಡ ಆರಾಧನೆದ ಮೂಲ ನಿಲೆ ಮೂಲ ಉದ್ದೇಸೊ ಗೊತ್ತುದಾಂತೆ
Jayaraj is a good captain.,ಜಯರಾಜೆ ಎಡ್ಡೆ ಸಾರಥಿಯಾತೆ
Praveen is the king,ಪ್ರವೀಣೆ  ರಾಜೆಯಾತೆ
He knew what was bitter and what was poison and what was medicine.,ಕೈಪೆ ವೊವ್ವ್ ಇಸ ವೊವ್ವ್ ಮರ್ದ್ ಪಂಡುದ್ ಅಯಿನ್ ಮುಟ್ಟೊಡು ತೆರಿದಿತ್ತೆ
"However, as the wife said, the garbage",ಆಂಡಲಾ ಬುಡೆದಿ ಪನ್ನಿಲೆಕ್ಕ ಕಜವ್ ಕಡ್ಡಿ
Gently or vigorously touch the area of the skin layer with your hand.,ಚರ್ಮದ ಪದರುದ ಜಾಗೋಗು ಕೈಟು ಮೆಲ್ಲ ಯಾ ಜೋರುಡು ಬೊಟ್ಟುದು
Amit has to go.,ಅಮಿತೆ  ಪೋಡಾಪುಂಡು
A virtuous soil in India,ಭರತ ದೇಸೊಡ್ ಇಪ್ಪುನ ಒಂಜಿ ಪುಣ್ಯೊದ ಮಣ್ಣ್
"For a long time after the establishment of the Bahubali of Karkala, Beera did not return to his home.",ಕಾರ್ಲದ ಗೊಮ್ಮಟನ ಪ್ರತಿಷ್ಠೆ ಆಯಿಬೊಕ್ಕ ಸುಮಾರ್ ಸಮಯಾಂಡಲಾ ಬೀರ ಕಲ್ಕುಡೆ ತನ್ನ ಇಲ್ಲಗ್ ಪಿಜಿರ್ದ್ ಬರಂದಿನವು
What have they done wrong?,ಆಲ್ ದಾದ ತಪ್ಪು ಮಲ್ದಲ್
There should be a joint camp of all castes in every town.,ಪ್ರತಿಯೊಂಜಿ ಊರುಡ್ಲಾ ಮಾತ ಜಾತಿದಕುಲ್ ಸೆರ್ದ್ ಕೂಡು ಕೊಟ್ಯ ಶಿಬಿರ ನಡಪಾವೋಡ್
"Our time is running out, man.",ನಮ್ಮ ಕಾಲೊ ಉರ್ಲೊಂದು ಪೊಂಡು ಮಾನಿಲೆ
Line up as three or four names,ಮೂಜಿ ಇಜ್ದಂಡ ಐನ್ ನಾಮದಲೆಕ ಗೆರೆ ಪಾಡುವೆರ್
He loved his children very well.,ತನ್ನ ಜೊಕ್ಲೆನ್ ಯೆಡ್ಡೆಡ್ ಪ್ರೀತಿಡು ಮಲ್ಲೆ ಮಲ್ತುದ್
This made Ramanna suspicious.,ಎನ್ನ ಬಾಲೆಗ್ ಎಂಚಿನ ಇತ್ತ್ಂಡಲ
Anish invests in a new business,ಅನೀಶೆ ಪೊಸ ಬೇರೊಗು ಬಂಡವಾಳ
Ramya's birthday is also approaching,ರಮ್ಯನ ಪುಟ್ಟು ಪರ್ಬಲ ಕೈತಲ್ ಬರೊಂದುಂಡು
How many cultivators are there in Tulu?,ಅಂಚದ್ ಅಯಿತ ಉಪದ್ರ ಊರುಗ್ ಮಾಮೂಲಿ ಆದಿತ್ತುಂಡ್
